max_strain,LN,EQ_MKZ,EQ_HH,NL_MKZ,NL_HH
0.015431,3.614412482,2.97165397,2.971647743,3.29187999,3.345649222
0.0104037,3.358608393,3.324054239,3.324037356,2.908774479,2.887498816
0.00733498,3.155232804,3.087128641,3.087126634,3.212515342,3.186501175
0.0169119,2.840170011,2.284307372,2.28431619,3.165321671,3.204573773
0.0157202,3.319885402,2.706192686,2.706184671,2.540712004,2.661381225
0.0163676,4.146398977,4.083742339,4.08374978,3.619933389,3.968629261
0.0479977,3.934918795,1.658730391,2.542410149,1.415229567,2.281130751
0.00907718,2.889051572,2.908596696,2.908583172,2.953683413,2.934493809
0.00765775,3.660400437,3.532034755,3.532037119,3.549650175,3.537020936
0.00374038,2.460870396,2.304257222,2.304258415,2.712637076,2.69497897
0.023239,3.575752163,2.838047436,2.844046294,3.192615415,3.369107183
0.0158022,2.958609217,2.121365877,2.12135179,2.052426168,2.152300683
0.00834424,1.47782236,1.218520675,1.21853241,1.452541118,1.432863437
0.00693126,2.859912338,3.118709011,3.118666584,3.688401132,3.660833642
0.0122073,3.222006841,2.877531285,2.877539243,2.507217109,2.485489649
0.00977765,3.802081657,3.89412443,3.894117039,4.031081311,4.019232997
0.0132655,3.683852365,3.392437967,3.392441912,2.960524266,2.978280869
0.00435938,2.657781712,1.997382091,1.997393347,1.004578092,1.017771878
0.00805693,2.557881428,2.548662548,2.548646806,2.011508498,2.026152871
0.00920945,3.87396453,3.238917498,3.238917846,2.451880601,2.4657588
0.0208575,3.283807186,3.217762585,3.229264723,2.856750443,2.866359755
0.0312938,4.178207079,3.572023835,3.826737443,3.725391913,3.481557022
0.00858486,3.751667734,2.772407183,2.772467396,2.114527124,2.127622626
0.0129304,3.230436435,3.015710424,3.015735677,2.265647812,2.273479022
0.0161955,2.905983807,1.988814981,1.988840906,1.638580243,1.625836043
0.0074173,2.972987486,2.985534776,2.985528264,2.563123037,2.576411969
0.0167455,3.534604114,3.544512488,3.544523695,2.55155594,2.52614144
0.00603094,2.717841543,2.314848312,2.314849637,1.961809605,1.974149743
0.0163439,2.612931245,2.432053586,2.432048749,2.059520151,2.047015364
0.00790077,3.005065363,2.371236415,2.371231608,2.036204413,2.060953135
0.0132789,3.351020492,3.1753123,3.175316433,3.075417226,3.092918179
0.0300858,2.63201883,2.312257982,2.335999922,2.055188156,1.920501206
0.00688073,3.405578338,2.648415659,2.648406821,2.165352503,2.174936774
0.0331401,3.658500074,1.637592756,1.78722002,2.693078205,2.172422393
0.0106074,3.942125055,3.928774081,3.928763153,2.96674531,2.987587281
0.0127749,2.235151818,2.355907607,2.355850802,2.499759281,2.519492277
0.00959444,3.543600611,2.977397889,2.977356338,2.414943142,2.435148592
0.0115698,4.511634809,4.255319197,4.255294036,3.961886397,3.980267038
0.0366834,5.019964382,4.880278051,4.859111699,4.417092629,4.298183646
0.0132736,2.192270061,2.040733419,2.040752308,1.732742883,1.738226913
0.0121034,4.341094526,4.341826017,4.341824463,4.241165648,4.249777432
0.0142624,3.919939486,3.289093762,3.289089098,3.165182244,3.178871164
0.0200913,4.177215767,3.800295399,3.799343304,3.387109143,3.316512878
0.00612309,2.867808088,2.535814652,2.535828097,1.748570439,1.756676941
0.00591152,3.227451567,2.869201125,2.869189432,2.759170105,2.786448942
0.00308927,2.167795448,2.709721786,2.70976909,1.709403287,1.726738277
0.0443052,3.35759754,2.448901889,2.687758526,2.73069005,2.644334636
0.00564717,3.250016737,3.299809882,3.299813886,2.956094511,2.96987661
0.021565,3.695589685,3.404337421,3.402631667,3.196997873,2.963406609
0.0097444,2.994603345,2.804553296,2.804549785,2.165450917,2.185866002
0.0154342,3.401545291,3.177572039,3.177588323,2.338786056,2.307116809
0.043557,4.454800017,2.322463402,2.61890947,2.917308117,2.71845487
0.0111968,3.547514072,3.366252333,3.366274889,2.977057862,2.983849742
0.018775,3.993459404,3.464223189,3.463624227,3.49925433,3.457534836
0.0624617,4.475148921,0.938842599,2.907035399,2.965339938,2.798682454
0.0105325,4.280608596,3.155941579,3.155960815,2.570725947,2.576969773
0.00922155,3.44266831,3.630424607,3.630415529,3.038807451,3.053450323
0.00820064,3.943434413,4.007345224,4.00734342,3.254563777,3.272247634
0.00880923,3.083270283,2.948065384,2.948065574,2.677324065,2.695781105
0.0133997,4.122995337,3.802458331,3.802458271,2.992086787,2.997137235
0.00756341,2.25034115,2.507309956,2.507324593,2.187521839,2.207181785
0.0124789,3.679479562,3.637985348,3.638011825,3.375998516,3.381044007
0.00762218,3.18976422,3.257219037,3.257211319,2.287508131,2.301107886
0.0161604,3.736235365,3.660449861,3.654587541,2.449398978,2.64837001
0.0159384,4.660641999,4.305910494,4.305907551,3.592590613,3.577203727
0.0123818,3.837571443,3.54037447,3.540427021,2.867091956,2.88160349
0.0110095,3.049147441,2.705323829,2.705324075,2.677929905,2.702803081
0.0340437,3.404010674,1.603676048,1.629133458,2.33888004,1.918438143
0.0179643,3.912765773,2.997543027,2.997539665,2.893877313,2.875847073
0.0133654,3.981258433,3.917352979,3.917350489,3.056489913,3.061466215
0.00986978,4.25988386,3.540437459,3.540453888,3.147941737,3.16161826
0.00523346,4.517382612,4.186334724,4.18632871,3.19821396,3.209621889
0.0270195,4.044666618,2.535853664,2.577828715,2.825156483,2.629798394
0.0291392,4.157574904,3.360687515,3.291319185,3.029609983,2.834784375
0.0370414,2.187264683,2.08147379,2.206188613,1.92504782,1.921526681
0.0110732,4.292551666,3.502103099,3.502108917,2.526429989,2.533563755
0.0122439,4.216636567,4.03155317,4.031553509,2.931451563,2.944770461
0.00447382,4.478595651,4.220042965,4.220039846,3.546311904,3.564919895
0.0174242,3.977568236,3.897441537,3.897454646,3.343580391,3.307649023
0.0109475,3.850090583,3.488139881,3.488130142,2.787734004,2.809432517
0.0120661,3.812318671,3.107749086,3.107747794,2.481139011,2.498406984
0.00783061,3.378128217,3.298734858,3.298724262,2.617713957,2.629624676
0.0280073,4.346956954,3.3869083,3.505167431,2.506675659,2.61622455
0.030705,3.955788745,2.339498056,2.333151155,2.471152933,2.092887772
0.0524088,4.179577726,2.873101344,3.398037171,3.177915159,3.261405366
0.0176976,4.052330923,4.27423051,4.27401818,3.564598606,3.579301033
0.00977902,3.449854743,2.522110993,2.52210495,2.278564726,2.308622236
0.00809171,3.882533906,3.986033201,3.986032864,3.466966947,3.481566054
0.0321491,4.190840693,3.868519443,3.848103834,3.423629359,3.305020921
0.0111462,4.150659629,3.195400772,3.195400833,3.05685299,3.086965154
0.00516419,4.079699441,3.267297056,3.26730571,2.36948506,2.382641018
0.421264,5.282666456,-0.362393714,-0.786409279,-2.707964123,2.281116209
0.041805,5.856245391,3.619107087,3.476273413,4.307111987,4.17766114
0.0623083,3.813785858,1.267609181,1.957019788,1.548698809,1.105301367
0.0159248,4.168592305,2.828243762,2.826188055,1.936549327,1.928467997
0.054657,4.895301376,2.124965924,3.421876068,3.070451094,3.598632337
0.0479056,4.860617629,3.033683928,3.007711557,3.514495093,3.623166851
0.00612877,4.393903702,4.32333389,4.323379302,2.760186519,2.779074089
0.0112939,4.04050418,3.921375104,3.921383521,3.245544092,3.265005339
0.0285116,3.568584251,3.447448245,3.459729128,3.485462331,3.049136866
0.0144562,3.111171628,3.150023743,3.150021184,2.471372264,2.494705387
0.0237065,4.670953646,4.195291019,4.215071016,3.618676253,3.575851316
0.0408423,4.591335461,2.996992738,3.673963316,3.384956566,3.432913473
0.00942081,3.695027344,3.427284229,3.427285243,2.895085958,2.902514594
0.0210801,3.780851376,2.650721409,2.646740301,2.480837587,2.416431404
0.0135011,3.313571397,3.304285042,3.304287377,2.182101986,2.198372484
0.0132914,3.358373525,3.21764979,3.217650227,2.680614522,2.696675083
0.00842535,3.960338707,3.301548266,3.301547908,2.750086213,2.782198283
0.0121606,4.117987868,3.588477847,3.588474351,2.733472751,2.744653084
0.0461466,3.969171896,2.663389356,2.776122117,2.794896942,2.699515499
0.00523677,2.543525646,2.935918151,2.93587781,2.085352029,2.11232417
0.0254147,5.0387157,2.409285549,2.411577214,2.332395722,2.190693321
0.075438,4.660642953,1.667464859,3.003918315,1.884834839,2.568564071
